expenditure_category,inflation_rate,date
Energy,3.3,2021/10
Energy,6.1,2021/11
Energy,7.6,2021/12
Energy,8.1,2022/01
Energy,3.6,2022/02
Energy,8.8,2022/03
Energy,7.3,2022/04
Energy,7.4,2022/05
Energy,11.3,2022/06
Energy,11.5,2022/07
Energy,14.3,2022/08
Energy,15.4,2022/09
Energy,14.4,2022/10
Energy,11.2,2022/11
Energy,9,2022/12
Energy,12.8,2023/01
Energy,15.4,2023/02
Energy,9.5,2023/03
Energy,9.5,2023/04
Energy,7.8,2023/05
Energy,4.6,2023/06
Energy,3.2,2023/07
Energy,0.7,2023/08
Energy,0.6,2023/09
Energy,1.4,2023/10
Energy,4.1,2023/11
Energy,5.3,2023/12
Energy,-0.1,2024/01
